station_id,depth_cm,depth_num,total_rows,missing_count,non_missing_count,missing_rate,missing_rate_percent,source_csv
F3,20cm,20,195793,50311,145482,0.2569601569003999,25.696015690039992,SM_NQ-30-minutes_20cm.csv
F4,20cm,20,195793,33980,161813,0.17355063766324638,17.355063766324637,SM_NQ-30-minutes_20cm.csv
F5,20cm,20,195793,34477,161316,0.1760890328050543,17.60890328050543,SM_NQ-30-minutes_20cm.csv
MS3475,20cm,20,195793,65514,130279,0.3346084895782791,33.46084895782791,SM_NQ-30-minutes_20cm.csv
MS3482,20cm,20,195793,30721,165072,0.1569055073470451,15.690550734704509,SM_NQ-30-minutes_20cm.csv
MS3488,20cm,20,195793,6945,188848,0.03547113533170236,3.547113533170236,SM_NQ-30-minutes_20cm.csv
MS3494,20cm,20,195793,15542,180251,0.07937975310659727,7.937975310659727,SM_NQ-30-minutes_20cm.csv
MS3501,20cm,20,195793,27019,168774,0.13799778337325644,13.799778337325645,SM_NQ-30-minutes_20cm.csv
MS3506,20cm,20,195793,85456,110337,0.43646095621396064,43.646095621396064,SM_NQ-30-minutes_20cm.csv
MS3513,20cm,20,195793,4930,190863,0.02517965402236035,2.517965402236035,SM_NQ-30-minutes_20cm.csv
MS3518,20cm,20,195793,980,194813,0.005005286195114228,0.5005286195114228,SM_NQ-30-minutes_20cm.csv
MS3523,20cm,20,195793,7060,188733,0.03605849034439434,3.6058490344394336,SM_NQ-30-minutes_20cm.csv
MS3527,20cm,20,195793,195793,0,1.0,100.0,SM_NQ-30-minutes_20cm.csv
MS3533,20cm,20,195793,30836,164957,0.15749286235973706,15.749286235973706,SM_NQ-30-minutes_20cm.csv
MS3545,20cm,20,195793,77553,118240,0.3960968982547895,39.60968982547895,SM_NQ-30-minutes_20cm.csv
MS3552,20cm,20,195793,75472,120321,0.3854683262425112,38.546832624251124,SM_NQ-30-minutes_20cm.csv
MS3559,20cm,20,195793,75521,120272,0.3857185905522669,38.571859055226696,SM_NQ-30-minutes_20cm.csv
MS3576,20cm,20,195793,51542,144251,0.26324740925365053,26.324740925365052,SM_NQ-30-minutes_20cm.csv
MS3593,20cm,20,195793,92343,103450,0.47163586032187055,47.163586032187055,SM_NQ-30-minutes_20cm.csv
MS3603,20cm,20,195793,26729,169064,0.1365166272542941,13.651662725429409,SM_NQ-30-minutes_20cm.csv
MS3614,20cm,20,195793,957,194836,0.004887815192575832,0.48878151925758323,SM_NQ-30-minutes_20cm.csv
MS3620,20cm,20,195793,34227,161566,0.17481217408181088,17.481217408181088,SM_NQ-30-minutes_20cm.csv
MS3627,20cm,20,195793,957,194836,0.004887815192575832,0.48878151925758323,SM_NQ-30-minutes_20cm.csv
MS3633,20cm,20,195793,49534,146259,0.25299167998855937,25.299167998855935,SM_NQ-30-minutes_20cm.csv
MSBJ,20cm,20,195793,33175,162618,0.16943915257440256,16.943915257440256,SM_NQ-30-minutes_20cm.csv
MSNQRW,20cm,20,195793,102671,93122,0.524385447896503,52.4385447896503,SM_NQ-30-minutes_20cm.csv
P1,20cm,20,195793,123658,72135,0.6315751839953421,63.157518399534204,SM_NQ-30-minutes_20cm.csv
P10,20cm,20,195793,28151,167642,0.14377939967210268,14.377939967210269,SM_NQ-30-minutes_20cm.csv
P11,20cm,20,195793,26224,169569,0.13393737263334235,13.393737263334234,SM_NQ-30-minutes_20cm.csv
P2,20cm,20,195793,26976,168817,0.13777816367285858,13.777816367285858,SM_NQ-30-minutes_20cm.csv
P3,20cm,20,195793,137397,58396,0.7017462319899077,70.17462319899077,SM_NQ-30-minutes_20cm.csv
P5,20cm,20,195793,94320,101473,0.48173325910527953,48.17332591052795,SM_NQ-30-minutes_20cm.csv
P7,20cm,20,195793,47713,148080,0.24369104104845424,24.369104104845423,SM_NQ-30-minutes_20cm.csv
P8,20cm,20,195793,91033,104760,0.464945120612075,46.4945120612075,SM_NQ-30-minutes_20cm.csv
P9,20cm,20,195793,110417,85376,0.5639476385774772,56.39476385774772,SM_NQ-30-minutes_20cm.csv
BC+,40cm,40,195793,134908,60885,0.6890338265412962,68.90338265412962,SM_NQ-30-minutes_40cm.csv
BC02,40cm,40,195793,47403,148390,0.2421077362316324,24.21077362316324,SM_NQ-30-minutes_40cm.csv
BC03,40cm,40,195793,195793,0,1.0,100.0,SM_NQ-30-minutes_40cm.csv
BC04,40cm,40,195793,17697,178096,0.0903862753009556,9.03862753009556,SM_NQ-30-minutes_40cm.csv
BC05,40cm,40,195793,38759,157034,0.1979590690167677,19.795906901676773,SM_NQ-30-minutes_40cm.csv
BC06,40cm,40,195793,24485,171308,0.1250555433544611,12.505554335446108,SM_NQ-30-minutes_40cm.csv
BC07,40cm,40,195793,64338,131455,0.328602146144142,32.860214614414204,SM_NQ-30-minutes_40cm.csv
BC08,40cm,40,195793,4925,190868,0.02515411684789548,2.515411684789548,SM_NQ-30-minutes_40cm.csv
C1,40cm,40,195793,17239,178554,0.08804707011997365,8.804707011997365,SM_NQ-30-minutes_40cm.csv
C2,40cm,40,195793,89723,106070,0.45825438090227943,45.82543809022794,SM_NQ-30-minutes_40cm.csv
C3,40cm,40,195793,118657,77136,0.6060329020955806,60.60329020955806,SM_NQ-30-minutes_40cm.csv
C4,40cm,40,195793,31437,164356,0.16056243073041426,16.056243073041426,SM_NQ-30-minutes_40cm.csv
CD01,40cm,40,195793,12407,183386,0.06336794471712472,6.336794471712472,SM_NQ-30-minutes_40cm.csv
CD02,40cm,40,195793,23709,172084,0.12109217387751349,12.109217387751348,SM_NQ-30-minutes_40cm.csv
CD03,40cm,40,195793,40033,155760,0.2044659410704162,20.446594107041623,SM_NQ-30-minutes_40cm.csv
CD04,40cm,40,195793,148956,46837,0.7607830719177907,76.07830719177907,SM_NQ-30-minutes_40cm.csv
CD05,40cm,40,195793,75522,120271,0.3857236979871599,38.57236979871599,SM_NQ-30-minutes_40cm.csv
CD06,40cm,40,195793,117002,78791,0.597580097347709,59.7580097347709,SM_NQ-30-minutes_40cm.csv
CD07,40cm,40,195793,176832,18961,0.9031579269943256,90.31579269943256,SM_NQ-30-minutes_40cm.csv
F1,40cm,40,195793,195793,0,1.0,100.0,SM_NQ-30-minutes_40cm.csv
F2,40cm,40,195793,53605,142188,0.2737840474378553,27.378404743785527,SM_NQ-30-minutes_40cm.csv
F3,40cm,40,195793,118673,77120,0.6061146210538682,60.61146210538681,SM_NQ-30-minutes_40cm.csv
F4,40cm,40,195793,33980,161813,0.17355063766324638,17.355063766324637,SM_NQ-30-minutes_40cm.csv
F5,40cm,40,195793,71117,124676,0.3632254472836107,36.32254472836107,SM_NQ-30-minutes_40cm.csv
MS3475,40cm,40,195793,23888,171905,0.12200640472335579,12.200640472335579,SM_NQ-30-minutes_40cm.csv
MS3482,40cm,40,195793,15348,180445,0.07838891073736037,7.838891073736037,SM_NQ-30-minutes_40cm.csv
MS3488,40cm,40,195793,6945,188848,0.03547113533170236,3.547113533170236,SM_NQ-30-minutes_40cm.csv
MS3494,40cm,40,195793,52007,143786,0.2656223664788833,26.562236647888334,SM_NQ-30-minutes_40cm.csv
MS3501,40cm,40,195793,27290,168503,0.13938189822925232,13.938189822925231,SM_NQ-30-minutes_40cm.csv
MS3506,40cm,40,195793,42883,152910,0.21902213051539127,21.90221305153913,SM_NQ-30-minutes_40cm.csv
MS3513,40cm,40,195793,158782,37011,0.8109687271761503,81.09687271761503,SM_NQ-30-minutes_40cm.csv
MS3518,40cm,40,195793,980,194813,0.005005286195114228,0.5005286195114228,SM_NQ-30-minutes_40cm.csv
MS3523,40cm,40,195793,986,194807,0.00503593080447207,0.503593080447207,SM_NQ-30-minutes_40cm.csv
MS3527,40cm,40,195793,87541,108252,0.4471099579658108,44.71099579658108,SM_NQ-30-minutes_40cm.csv
MS3533,40cm,40,195793,18266,177527,0.09329240575505764,9.329240575505764,SM_NQ-30-minutes_40cm.csv
MS3545,40cm,40,195793,119217,76576,0.6088930656356458,60.88930656356458,SM_NQ-30-minutes_40cm.csv
MS3552,40cm,40,195793,75472,120321,0.3854683262425112,38.546832624251124,SM_NQ-30-minutes_40cm.csv
MS3559,40cm,40,195793,70400,125393,0.3595634164653486,35.95634164653486,SM_NQ-30-minutes_40cm.csv
MS3576,40cm,40,195793,18528,177265,0.09463055369701674,9.463055369701674,SM_NQ-30-minutes_40cm.csv
MS3593,40cm,40,195793,109549,86244,0.5595143850903761,55.95143850903761,SM_NQ-30-minutes_40cm.csv
MS3603,40cm,40,195793,26729,169064,0.1365166272542941,13.651662725429409,SM_NQ-30-minutes_40cm.csv
MS3614,40cm,40,195793,13002,182791,0.06640686847844407,6.640686847844407,SM_NQ-30-minutes_40cm.csv
MS3620,40cm,40,195793,101869,93924,0.5202892851123381,52.02892851123381,SM_NQ-30-minutes_40cm.csv
MS3627,40cm,40,195793,957,194836,0.004887815192575832,0.48878151925758323,SM_NQ-30-minutes_40cm.csv
MS3633,40cm,40,195793,42730,153063,0.21824069297676627,21.824069297676626,SM_NQ-30-minutes_40cm.csv
MSBJ,40cm,40,195793,14020,181773,0.0716062371994913,7.16062371994913,SM_NQ-30-minutes_40cm.csv
MSNQRW,40cm,40,195793,195793,0,1.0,100.0,SM_NQ-30-minutes_40cm.csv
P1,40cm,40,195793,151619,44174,0.7743841710377797,77.43841710377797,SM_NQ-30-minutes_40cm.csv
P10,40cm,40,195793,139899,55894,0.7145250340921279,71.45250340921278,SM_NQ-30-minutes_40cm.csv
P11,40cm,40,195793,52644,143149,0.2688758025057076,26.887580250570757,SM_NQ-30-minutes_40cm.csv
P2,40cm,40,195793,26981,168812,0.13780370084732346,13.780370084732347,SM_NQ-30-minutes_40cm.csv
P3,40cm,40,195793,142678,53115,0.7287185956597019,72.87185956597018,SM_NQ-30-minutes_40cm.csv
P5,40cm,40,195793,104933,90860,0.5359384656244095,53.59384656244095,SM_NQ-30-minutes_40cm.csv
P7,40cm,40,195793,114019,81774,0.5823446190619685,58.234461906196856,SM_NQ-30-minutes_40cm.csv
P8,40cm,40,195793,157215,38578,0.8029653766988605,80.29653766988605,SM_NQ-30-minutes_40cm.csv
P9,40cm,40,195793,173772,22021,0.8875291762218261,88.75291762218261,SM_NQ-30-minutes_40cm.csv
